ID,Kael,angularity,surface_roughness,asymmetricity1,asymmetricity2,polygonality,area,perimeter,elongation,bulkiness,surface,circularity,sphericity
8_Drawing of 4_particle_6,0.571796026,2.303807011,0.135435816,1.521034215,42.07257317,5.291502622,8555,504,2.028074193,1.437530032,2.362823029,0.650555574,0.655527382
8_Drawing of 5_particle_1,0.716262292,1.661374095,0.106740681,0.728925342,39.62357972,3.464101615,9091,484,1.49241458,1.389219577,2.050544514,0.698337557,0.686316236
8_Drawing of 5_particle_2,0.604205353,1.981548482,0.093719019,1.440043875,32.34495448,4.898979486,8771,476,1.904592092,1.412077137,2.055677254,0.697465186,0.659171725
8_Drawing of 5_particle_3,0.647771379,1.929488117,0.104264145,1.320684096,47.8276377,4.898979486,8830,476,1.572934066,1.412848817,2.041941698,0.699807079,0.702256975
8_Drawing of 5_particle_4,0.66717419,1.741813974,0.143623923,0.971987567,83.19762212,3.872983346,8887,490,1.534398482,1.431344364,2.149943841,0.682003247,0.694808004
8_Drawing of 5_particle_5,0.545970312,1.953196814,0.08767948,1.007981162,135.8354148,4.0,8904,502,2.096568124,1.359930121,2.25222834,0.666336787,0.648755069
8_Drawing of 5_particle_6,0.538956238,1.89577268,0.10512869,1.259223772,22.85054646,3.464101615,9900,560,2.056732822,1.340396739,2.520757078,0.629846184,0.662535496
8_Drawing of 5_particle_7,0.78037603,1.702129937,0.070202698,0.727614144,45.21118355,4.0,9035,466,1.329400316,1.261284164,1.912642547,0.72307458,0.820250534
8_Drawing of 6_particle_1,0.397940703,1.571326908,0.108024737,1.036408964,24.10820527,4.0,9361,546,2.928188685,1.327786648,2.534271713,0.628164533,0.549030837
8_Drawing of 6_particle_2,0.745646774,1.983997789,0.145260369,1.311072144,85.40680937,3.464101615,9438,498,1.410674105,1.430206074,2.091071334,0.691537246,0.738280097
8_Drawing of 6_particle_3,0.688244011,2.235788056,0.081797888,0.565984035,61.08027477,3.0,9313,498,1.632988493,1.369757296,2.119137899,0.686942507,0.723645643
8_Drawing of 7_particle_1,0.881787076,1.739396604,0.091199969,0.907846653,44.54698539,4.472135955,9788,474,1.188498363,1.243822334,1.826639558,0.739900926,0.84193044
8_Drawing of 7_particle_2,0.538638626,1.973088463,0.161541771,0.596016922,28.48942998,4.0,9666,562,1.996651593,1.361268598,2.600255217,0.620143237,0.635541862
8_Drawing of 7_particle_3,0.939297354,1.663786311,0.103549122,1.429166182,118.97743,3.872983346,9532,458,1.078268415,1.26889658,1.751205281,0.755668764,0.814734372
8_Drawing of 7_particle_4,0.662463707,1.867483265,0.065962209,0.905775377,142.8030785,3.464101615,9680,472,1.608758315,1.304966954,1.831465643,0.738925428,0.719792083
8_Drawing of 8_particle_1,0.425883512,1.72935261,0.176115551,0.711786514,44.27377461,3.464101615,9875,554,2.570826927,1.46874037,2.473275874,0.635863241,0.570449779
8_Drawing of 8_particle_2,0.582161287,1.782485536,0.148025611,0.829010441,37.52359795,4.0,9713,484,1.912401269,1.245277505,1.919231975,0.721832222,0.698104342
8_Drawing of 8_particle_3,0.609698055,1.63687261,0.125778113,0.524298055,30.54967475,3.0,9905,500,1.867105293,1.333930621,2.008517707,0.705605842,0.665467467
8_Drawing of 8_particle_4,0.365967284,1.949850792,0.139322908,2.139876994,39.22402808,6.32455532,9951,634,3.320897098,1.369465396,3.214414848,0.557762147,0.506486638
8_Drawing of 8_particle_5,0.887869448,1.695500048,0.091417848,0.38274945,68.43930819,3.0,9802,472,1.201448954,1.3285446,1.808670416,0.7435673,0.828616152
8_Drawing of 8_particle_6,0.803047166,1.95919484,0.183141989,1.094231454,36.88927999,3.464101615,9988,470,1.222799761,1.349189795,1.75997832,0.753783004,0.706719671
8_Drawing of 9_particle_1,0.721154959,1.850170898,0.099799613,1.024065817,28.95858044,3.872983346,9932,508,1.4295224,1.368951135,2.067668206,0.695439854,0.735625545
8_Drawing of 9_particle_2,0.687868321,1.463110766,0.136396622,0.502834217,100.788093,3.0,10001,484,1.584089093,1.301329888,1.863963621,0.732455567,0.687761309
8_Drawing of 9_particle_3,0.627037525,1.574853231,0.132120061,1.207033355,27.57471044,3.464101615,10040,514,1.608726466,1.485426057,2.094028852,0.691048724,0.650779569
8_Drawing of 9_particle_4,0.868358059,2.308750842,0.151859214,1.01978305,44.1887928,4.242640687,10075,514,1.204698269,1.420609991,2.08675431,0.692252193,0.792203874
8_Drawing of 9_particle_5,0.712025575,2.227574331,0.099287266,0.678908838,39.73566236,4.472135955,10021,524,1.529649148,1.391016573,2.180427485,0.677219065,0.739013929
9_Drawing of 1_particle_1,0.65917316,2.348564642,0.123677584,1.633534521,58.96425912,3.872983346,6594,438,1.558601634,1.474289004,2.3152048,0.65721171,0.650685981
9_Drawing of 1_particle_2,0.732374891,2.316198191,0.186844449,0.857846297,26.3282831,3.0,6644,418,1.472195937,1.501936357,2.092729401,0.691263239,0.643414694
9_Drawing of 1_particle_3,0.715261688,1.792742471,0.207492138,1.58894217,55.59402374,3.464101615,6613,404,1.4375,1.391199153,1.964058158,0.7135474,0.71528386
9_Drawing of 1_particle_4,0.487032903,1.305825617,0.147038073,1.319231217,104.4787377,3.0,6689,462,2.401831112,1.385850507,2.539293442,0.627543094,0.565134519
9_Drawing of 1_particle_5,0.394217135,1.527777374,0.131418187,0.762015033,50.96501457,4.0,6704,474,2.942169839,1.30240639,2.66693735,0.612341358,0.544996292
